"File","PageFamily","ProposedOpenGraphTitle","ProposedOpenGraphDescription","ProposedOpenGraphType","ProposedOpenGraphUrlScheme","ProposedOpenGraphUrlHost","ProposedOpenGraphUrlPath","ProposedTwitterCard","ProposedTwitterTitle","ProposedTwitterDescription","ImageStrategy","IncludeInFirstSocialMetadataEdit","Notes"
"areas\bay-ar-72411.html","service-area","Restoration & Construction Services in Bay, AR 72411 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Bay, AR 72411 and nearby Northeast Arkansas communities.","article","https","services.crainbrosinc.com","/areas/bay-ar-72411.html","summary_large_image","Restoration & Construction Services in Bay, AR 72411 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Bay, AR 72411 and nearby Northeast Arkansas communities.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"areas\blytheville-ar-72316.html","service-area","Restoration & Construction Services in Blytheville, AR 72316 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Blytheville, AR 72316 and nearby Northeast Arkansas communities.","article","https","services.crainbrosinc.com","/areas/blytheville-ar-72316.html","summary_large_image","Restoration & Construction Services in Blytheville, AR 72316 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Blytheville, AR 72316 and nearby Northeast Arkansas communities.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"areas\bono-ar-72416.html","service-area","Restoration & Construction Services in Bono, AR 72416 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Bono, AR 72416 and nearby Northeast Arkansas communities.","article","https","services.crainbrosinc.com","/areas/bono-ar-72416.html","summary_large_image","Restoration & Construction Services in Bono, AR 72416 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Bono, AR 72416 and nearby Northeast Arkansas communities.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"areas\brookland-ar-72417.html","service-area","Restoration & Construction Services in Brookland, AR 72417 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Brookland, AR 72417 and nearby Northeast Arkansas communities.","article","https","services.crainbrosinc.com","/areas/brookland-ar-72417.html","summary_large_image","Restoration & Construction Services in Brookland, AR 72417 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Brookland, AR 72417 and nearby Northeast Arkansas communities.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"areas\caraway-ar-72419.html","service-area","Restoration & Construction Services in Caraway, AR 72419 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Caraway, AR 72419 and nearby Northeast Arkansas communities.","article","https","services.crainbrosinc.com","/areas/caraway-ar-72419.html","summary_large_image","Restoration & Construction Services in Caraway, AR 72419 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Caraway, AR 72419 and nearby Northeast Arkansas communities.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"areas\gosnell-ar-72315.html","service-area","Restoration & Construction Services in Gosnell, AR 72315 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Gosnell, AR 72315 and nearby Northeast Arkansas communities.","article","https","services.crainbrosinc.com","/areas/gosnell-ar-72315.html","summary_large_image","Restoration & Construction Services in Gosnell, AR 72315 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Gosnell, AR 72315 and nearby Northeast Arkansas communities.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"areas\gosnell-ar-72319.html","service-area","Restoration & Construction Services in Gosnell, AR 72319 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Gosnell, AR 72319 and nearby Northeast Arkansas communities.","article","https","services.crainbrosinc.com","/areas/gosnell-ar-72319.html","summary_large_image","Restoration & Construction Services in Gosnell, AR 72319 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Gosnell, AR 72319 and nearby Northeast Arkansas communities.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"areas\harrisburg-ar-72432.html","service-area","Restoration & Construction Services in Harrisburg, AR 72432 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Harrisburg, AR 72432 and nearby Northeast Arkansas communities.","article","https","services.crainbrosinc.com","/areas/harrisburg-ar-72432.html","summary_large_image","Restoration & Construction Services in Harrisburg, AR 72432 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Harrisburg, AR 72432 and nearby Northeast Arkansas communities.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"areas\jonesboro-ar-72401.html","service-area","Restoration & Construction Services in Jonesboro, AR 72401 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Jonesboro, AR 72401 and nearby Northeast Arkansas communities.","article","https","services.crainbrosinc.com","/areas/jonesboro-ar-72401.html","summary_large_image","Restoration & Construction Services in Jonesboro, AR 72401 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Jonesboro, AR 72401 and nearby Northeast Arkansas communities.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"areas\jonesboro-ar-72402.html","service-area","Restoration & Construction Services in Jonesboro, AR 72402 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Jonesboro, AR 72402 and nearby Northeast Arkansas communities.","article","https","services.crainbrosinc.com","/areas/jonesboro-ar-72402.html","summary_large_image","Restoration & Construction Services in Jonesboro, AR 72402 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Jonesboro, AR 72402 and nearby Northeast Arkansas communities.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"areas\jonesboro-ar-72403.html","service-area","Restoration & Construction Services in Jonesboro, AR 72403 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Jonesboro, AR 72403 and nearby Northeast Arkansas communities.","article","https","services.crainbrosinc.com","/areas/jonesboro-ar-72403.html","summary_large_image","Restoration & Construction Services in Jonesboro, AR 72403 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Jonesboro, AR 72403 and nearby Northeast Arkansas communities.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"areas\jonesboro-ar-72404.html","service-area","Restoration & Construction Services in Jonesboro, AR 72404 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Jonesboro, AR 72404 and nearby Northeast Arkansas communities.","article","https","services.crainbrosinc.com","/areas/jonesboro-ar-72404.html","summary_large_image","Restoration & Construction Services in Jonesboro, AR 72404 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Jonesboro, AR 72404 and nearby Northeast Arkansas communities.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"areas\jonesboro-ar-72405.html","service-area","Restoration & Construction Services in Jonesboro, AR 72405 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Jonesboro, AR 72405 and nearby Northeast Arkansas communities.","article","https","services.crainbrosinc.com","/areas/jonesboro-ar-72405.html","summary_large_image","Restoration & Construction Services in Jonesboro, AR 72405 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Jonesboro, AR 72405 and nearby Northeast Arkansas communities.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"areas\lake-city-ar-72437.html","service-area","Restoration & Construction Services in Lake City, AR 72437 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Lake City, AR 72437 and nearby Northeast Arkansas communities.","article","https","services.crainbrosinc.com","/areas/lake-city-ar-72437.html","summary_large_image","Restoration & Construction Services in Lake City, AR 72437 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Lake City, AR 72437 and nearby Northeast Arkansas communities.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"areas\monette-ar-72447.html","service-area","Restoration & Construction Services in Monette, AR 72447 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Monette, AR 72447 and nearby Northeast Arkansas communities.","article","https","services.crainbrosinc.com","/areas/monette-ar-72447.html","summary_large_image","Restoration & Construction Services in Monette, AR 72447 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Monette, AR 72447 and nearby Northeast Arkansas communities.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"areas\newport-ar-72112.html","service-area","Restoration & Construction Services in Newport, AR 72112 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Newport, AR 72112 and nearby Northeast Arkansas communities.","article","https","services.crainbrosinc.com","/areas/newport-ar-72112.html","summary_large_image","Restoration & Construction Services in Newport, AR 72112 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Newport, AR 72112 and nearby Northeast Arkansas communities.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"areas\paragould-ar-72450.html","service-area","Restoration & Construction Services in Paragould, AR 72450 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Paragould, AR 72450 and nearby Northeast Arkansas communities.","article","https","services.crainbrosinc.com","/areas/paragould-ar-72450.html","summary_large_image","Restoration & Construction Services in Paragould, AR 72450 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Paragould, AR 72450 and nearby Northeast Arkansas communities.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"areas\paragould-ar-72451.html","service-area","Restoration & Construction Services in Paragould, AR 72451 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Paragould, AR 72451 and nearby Northeast Arkansas communities.","article","https","services.crainbrosinc.com","/areas/paragould-ar-72451.html","summary_large_image","Restoration & Construction Services in Paragould, AR 72451 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Paragould, AR 72451 and nearby Northeast Arkansas communities.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"areas\trumann-ar-72472.html","service-area","Restoration & Construction Services in Trumann, AR 72472 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Trumann, AR 72472 and nearby Northeast Arkansas communities.","article","https","services.crainbrosinc.com","/areas/trumann-ar-72472.html","summary_large_image","Restoration & Construction Services in Trumann, AR 72472 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Trumann, AR 72472 and nearby Northeast Arkansas communities.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"areas\williams-baptist-college-ar-72476.html","service-area","Restoration & Construction Services in Williams Baptist College, AR 72476 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Williams Baptist College, AR 72476 and nearby Northeast Arkansas communities.","article","https","services.crainbrosinc.com","/areas/williams-baptist-college-ar-72476.html","summary_large_image","Restoration & Construction Services in Williams Baptist College, AR 72476 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Williams Baptist College, AR 72476 and nearby Northeast Arkansas communities.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
