"File","PageFamily","Title","Description","H1","CanonicalScheme","CanonicalHost","CanonicalPath","CurrentCanonicalHrefPresent","JsonLdEligibleForFirstStructuredDataPhase","ProposedSchemaBlocks","JsonLdIntent","JsonLdDataSourceRule","ExplicitExclusions","Notes"
"areas\jonesboro-ar-72403.html","service-area","Restoration &amp; Construction Services in Jonesboro, AR 72403 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Jonesboro, AR 72403 and nearby Northeast Arkansas communities.","Crain Bros Inc in Jonesboro, AR 72403","https","services.crainbrosinc.com","/areas/jonesboro-ar-72403.html","True","Yes","WebPage candidate; area-served supporting page candidate.","Represent the page as a location/service-area credibility page without claiming a separate physical business location.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Avoid LocalBusiness per city/ZIP unless actual business-location data supports separate locations."
"areas\jonesboro-ar-72404.html","service-area","Restoration &amp; Construction Services in Jonesboro, AR 72404 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Jonesboro, AR 72404 and nearby Northeast Arkansas communities.","Crain Bros Inc in Jonesboro, AR 72404","https","services.crainbrosinc.com","/areas/jonesboro-ar-72404.html","True","Yes","WebPage candidate; area-served supporting page candidate.","Represent the page as a location/service-area credibility page without claiming a separate physical business location.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Avoid LocalBusiness per city/ZIP unless actual business-location data supports separate locations."
"areas\jonesboro-ar-72405.html","service-area","Restoration &amp; Construction Services in Jonesboro, AR 72405 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Jonesboro, AR 72405 and nearby Northeast Arkansas communities.","Crain Bros Inc in Jonesboro, AR 72405","https","services.crainbrosinc.com","/areas/jonesboro-ar-72405.html","True","Yes","WebPage candidate; area-served supporting page candidate.","Represent the page as a location/service-area credibility page without claiming a separate physical business location.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Avoid LocalBusiness per city/ZIP unless actual business-location data supports separate locations."
"areas\lake-city-ar-72437.html","service-area","Restoration &amp; Construction Services in Lake City, AR 72437 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Lake City, AR 72437 and nearby Northeast Arkansas communities.","Crain Bros Inc in Lake City, AR 72437","https","services.crainbrosinc.com","/areas/lake-city-ar-72437.html","True","Yes","WebPage candidate; area-served supporting page candidate.","Represent the page as a location/service-area credibility page without claiming a separate physical business location.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Avoid LocalBusiness per city/ZIP unless actual business-location data supports separate locations."
"areas\monette-ar-72447.html","service-area","Restoration &amp; Construction Services in Monette, AR 72447 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Monette, AR 72447 and nearby Northeast Arkansas communities.","Crain Bros Inc in Monette, AR 72447","https","services.crainbrosinc.com","/areas/monette-ar-72447.html","True","Yes","WebPage candidate; area-served supporting page candidate.","Represent the page as a location/service-area credibility page without claiming a separate physical business location.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Avoid LocalBusiness per city/ZIP unless actual business-location data supports separate locations."
"areas\newport-ar-72112.html","service-area","Restoration &amp; Construction Services in Newport, AR 72112 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Newport, AR 72112 and nearby Northeast Arkansas communities.","Crain Bros Inc in Newport, AR 72112","https","services.crainbrosinc.com","/areas/newport-ar-72112.html","True","Yes","WebPage candidate; area-served supporting page candidate.","Represent the page as a location/service-area credibility page without claiming a separate physical business location.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Avoid LocalBusiness per city/ZIP unless actual business-location data supports separate locations."
"areas\paragould-ar-72450.html","service-area","Restoration &amp; Construction Services in Paragould, AR 72450 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Paragould, AR 72450 and nearby Northeast Arkansas communities.","Crain Bros Inc in Paragould, AR 72450","https","services.crainbrosinc.com","/areas/paragould-ar-72450.html","True","Yes","WebPage candidate; area-served supporting page candidate.","Represent the page as a location/service-area credibility page without claiming a separate physical business location.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Avoid LocalBusiness per city/ZIP unless actual business-location data supports separate locations."
"areas\paragould-ar-72451.html","service-area","Restoration &amp; Construction Services in Paragould, AR 72451 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Paragould, AR 72451 and nearby Northeast Arkansas communities.","Crain Bros Inc in Paragould, AR 72451","https","services.crainbrosinc.com","/areas/paragould-ar-72451.html","True","Yes","WebPage candidate; area-served supporting page candidate.","Represent the page as a location/service-area credibility page without claiming a separate physical business location.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Avoid LocalBusiness per city/ZIP unless actual business-location data supports separate locations."
"areas\trumann-ar-72472.html","service-area","Restoration &amp; Construction Services in Trumann, AR 72472 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Trumann, AR 72472 and nearby Northeast Arkansas communities.","Crain Bros Inc in Trumann, AR 72472","https","services.crainbrosinc.com","/areas/trumann-ar-72472.html","True","Yes","WebPage candidate; area-served supporting page candidate.","Represent the page as a location/service-area credibility page without claiming a separate physical business location.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Avoid LocalBusiness per city/ZIP unless actual business-location data supports separate locations."
"areas\williams-baptist-college-ar-72476.html","service-area","Restoration &amp; Construction Services in Williams Baptist College, AR 72476 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Williams Baptist College, AR 72476 and nearby Northeast Arkansas communities.","Crain Bros Inc in Williams Baptist College, AR 72476","https","services.crainbrosinc.com","/areas/williams-baptist-college-ar-72476.html","True","Yes","WebPage candidate; area-served supporting page candidate.","Represent the page as a location/service-area credibility page without claiming a separate physical business location.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Avoid LocalBusiness per city/ZIP unless actual business-location data supports separate locations."
"index.html","homepage-market-wide","Crain Bros Inc | Restoration, Repairs &amp; Construction | Northeast Arkansas","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services across Northeast Arkansas.","Crain Bros Inc","https","services.crainbrosinc.com","/","True","Yes","Organization or LocalBusiness candidate; WebSite candidate; WebPage candidate.","Represent Crain Bros Inc as the market-wide business/entity page and website homepage using only verified business facts.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Do not add service-area ZIP-only positioning to homepage schema. Do not add ratings, reviews, prices, or claims not visibly verified."
"pages\building-consultant.html","service-category","Building Consultant | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides building consultant services for properties across Northeast Arkansas.","Building Consultant in Jonesboro, AR","https","services.crainbrosinc.com","/pages/building-consultant.html","True","Yes","Service candidate; WebPage candidate; BreadcrumbList candidate if breadcrumb/navigation pattern is approved.","Represent the page as a service-category page associated with Crain Bros Inc.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Do not add FAQPage until matching visible FAQ content exists. Do not add aggregateRating or review schema."
"pages\building-inspector.html","service-category","Building Inspection Services | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides building inspection services for properties across Northeast Arkansas.","Building Inspection Services in Jonesboro, AR","https","services.crainbrosinc.com","/pages/building-inspector.html","True","Yes","Service candidate; WebPage candidate; BreadcrumbList candidate if breadcrumb/navigation pattern is approved.","Represent the page as a service-category page associated with Crain Bros Inc.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Do not add FAQPage until matching visible FAQ content exists. Do not add aggregateRating or review schema."
"pages\building-restoration.html","service-category","Building Restoration | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides building restoration services for properties across Northeast Arkansas.","Building Restoration in Jonesboro, AR","https","services.crainbrosinc.com","/pages/building-restoration.html","True","Yes","Service candidate; WebPage candidate; BreadcrumbList candidate if breadcrumb/navigation pattern is approved.","Represent the page as a service-category page associated with Crain Bros Inc.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Do not add FAQPage until matching visible FAQ content exists. Do not add aggregateRating or review schema."
"pages\construction.html","service-category","Construction | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides construction services for properties across Northeast Arkansas.","Construction in Jonesboro, AR","https","services.crainbrosinc.com","/pages/construction.html","True","Yes","Service candidate; WebPage candidate; BreadcrumbList candidate if breadcrumb/navigation pattern is approved.","Represent the page as a service-category page associated with Crain Bros Inc.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Do not add FAQPage until matching visible FAQ content exists. Do not add aggregateRating or review schema."
"pages\fire-damage.html","service-category","Fire Damage Restoration | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides fire damage restoration services for properties across Northeast Arkansas.","Fire Damage Restoration in Jonesboro, AR","https","services.crainbrosinc.com","/pages/fire-damage.html","True","Yes","Service candidate; WebPage candidate; BreadcrumbList candidate if breadcrumb/navigation pattern is approved.","Represent the page as a service-category page associated with Crain Bros Inc.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Do not add FAQPage until matching visible FAQ content exists. Do not add aggregateRating or review schema."
"pages\plumbing.html","service-category","Plumbing | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides plumbing services for properties across Northeast Arkansas.","Plumbing in Jonesboro, AR","https","services.crainbrosinc.com","/pages/plumbing.html","True","Yes","Service candidate; WebPage candidate; BreadcrumbList candidate if breadcrumb/navigation pattern is approved.","Represent the page as a service-category page associated with Crain Bros Inc.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Do not add FAQPage until matching visible FAQ content exists. Do not add aggregateRating or review schema."
"pages\remodeling.html","service-category","Remodeling | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides remodeling services for properties across Northeast Arkansas.","Remodeling in Jonesboro, AR","https","services.crainbrosinc.com","/pages/remodeling.html","True","Yes","Service candidate; WebPage candidate; BreadcrumbList candidate if breadcrumb/navigation pattern is approved.","Represent the page as a service-category page associated with Crain Bros Inc.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Do not add FAQPage until matching visible FAQ content exists. Do not add aggregateRating or review schema."
"pages\water-damage.html","service-category","Water Damage Restoration | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides water damage restoration services for properties across Northeast Arkansas.","Water Damage Restoration in Jonesboro, AR","https","services.crainbrosinc.com","/pages/water-damage.html","True","Yes","Service candidate; WebPage candidate; BreadcrumbList candidate if breadcrumb/navigation pattern is approved.","Represent the page as a service-category page associated with Crain Bros Inc.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Do not add FAQPage until matching visible FAQ content exists. Do not add aggregateRating or review schema."
"pages\waterproofing.html","service-category","Waterproofing | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides waterproofing services for properties across Northeast Arkansas.","Waterproofing in Jonesboro, AR","https","services.crainbrosinc.com","/pages/waterproofing.html","True","Yes","Service candidate; WebPage candidate; BreadcrumbList candidate if breadcrumb/navigation pattern is approved.","Represent the page as a service-category page associated with Crain Bros Inc.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Do not add FAQPage until matching visible FAQ content exists. Do not add aggregateRating or review schema."
